title,available_globally?,release_date,hours_viewed,month,year,season_number,show_name
Selling Sunset: Season 6,Yes,2023-05-19,82800000,May,2023.0,6,Selling Sunset
CoComelon: Season 4,No,2021-10-14,82500000,October,2021.0,4,CoComelon
Suits (2011): Season 3,Yes,,82500000,,,3,Suits (2011)
Sam & Cat: Season 1,No,,82400000,,,1,Sam & Cat
Gilmore Girls: Season 1,Yes,,82100000,,,1,Gilmore Girls
Sonic Prime: Season 1,Yes,2022-12-15,82100000,December,2022.0,1,Sonic Prime
Peppa Pig: Season 1,No,,81800000,,,1,Peppa Pig
Manifest: Season 3,No,2021-08-21,81700000,August,2021.0,3,Manifest
Roald Dahl's Matilda The Musical,Yes,2022-12-25,81000000,December,2022.0,,Roald Dahl's Matilda The Musical
Better Call Saul: Season 6,No,2022-04-19,80800000,April,2022.0,6,Better Call Saul
Sing (2016),No,,80500000,,,,Sing (2016)
Hajime no Ippo: The Fighting!: Season 1 // はじめの一歩: シーズン1,No,,80300000,,,1,Hajime no Ippo: The Fighting! // はじめの一歩: シーズン1
All Quiet on the Western Front // Im Westen nichts Neues,Yes,2022-10-28,80000000,October,2022.0,,All Quiet on the Western Front // Im Westen nichts Neues
Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1,Yes,2023-03-17,79700000,March,2023.0,1,Sky High: The Series // Hasta el cielo: La serie
Alpha Males: Season 1 // Machos alfa: Season 1,No,2022-12-30,78200000,December,2022.0,1,Alpha Males // Machos alfa
Record of Ragnarok: Season 2 // 終末のワルキューレ: シーズン２,No,2023-01-26,78200000,January,2023.0,2,Record of Ragnarok // 終末のワルキューレ: シーズン２
Chupa,Yes,2023-04-07,77800000,April,2023.0,,Chupa
Stranger Things,Yes,2016-07-15,77800000,July,2016.0,,Stranger Things
Paw Patrol: The Movie,No,,77200000,,,,Paw Patrol: The Movie
Sing 2,No,,76600000,,,,Sing 2
The Crown: Season 5,Yes,2022-11-09,76300000,November,2022.0,5,The Crown
Next in Fashion: Season 2,Yes,2023-03-03,75700000,March,2023.0,2,Next in Fashion
Gilmore Girls: Season 2,Yes,,75200000,,,2,Gilmore Girls
Lucifer: Season 5,No,2020-08-21,75200000,August,2020.0,5,Lucifer
The Boss Baby,No,,75100000,,,,The Boss Baby
Treason: Limited Series,Yes,2022-12-26,74300000,December,2022.0,,Treason: Limited Series
Trolls,No,,73400000,,,,Trolls
Blood Ties: Season 1 // Las Villamizar: Season 1,No,,73300000,,,1,Blood Ties // Las Villamizar
Money Heist: Part 1 // La casa de papel: Parte 1,Yes,2017-07-01,73100000,July,2017.0,,Money Heist: Part 1 // La casa de papel: Parte 1
Rough Diamonds: Season 1,Yes,2023-04-21,72800000,April,2023.0,1,Rough Diamonds
Vincenzo: Season 1 // 빈센조: 시즌 1,Yes,2021-02-20,72800000,February,2021.0,1,Vincenzo // 빈센조: 시즌 1
The Walking Dead: Season 10,No,,72200000,,,10,The Walking Dead
The Witcher: Season 1,Yes,2019-12-20,72200000,December,2019.0,1,The Witcher
Gabby's Dollhouse: Season 1,Yes,2021-01-05,71600000,January,2021.0,1,Gabby's Dollhouse
The Walking Dead: Season 3,No,,71600000,,,3,The Walking Dead
Carrossel,No,,71300000,,,,Carrossel
Gilmore Girls: Season 3,Yes,,71300000,,,3,Gilmore Girls
Red Rose: Season 1,Yes,2023-02-15,71100000,February,2023.0,1,Red Rose
Fauda: Season 4 // פאודה: עונה 4,Yes,2023-01-20,71000000,January,2023.0,4,Fauda // פאודה: עונה 4
New Amsterdam (2018): Season 3,No,,70600000,,,3,New Amsterdam (2018)
Gilmore Girls: Season 5,Yes,,69900000,,,5,Gilmore Girls
Gilmore Girls: Season 4,Yes,,69800000,,,4,Gilmore Girls
The Blacklist: Season 2,No,,69700000,,,2,The Blacklist
"Divorce Attorney Shin: Limited Series // 신성한, 이혼: 리미티드 시리즈",Yes,2023-03-04,69500000,March,2023.0,,"Divorce Attorney Shin: Limited Series // 신성한, 이혼: 리미티드 시리즈"
Stranger Things 2,Yes,2017-10-27,69200000,October,2017.0,,Stranger Things 2
Hometown Cha-Cha-Cha: Season 1 // 갯마을 차차차: 시즌 1,Yes,2021-08-28,69000000,August,2021.0,1,Hometown Cha-Cha-Cha // 갯마을 차차차: 시즌 1
Love Is Blind: Season 3,Yes,2022-10-19,68900000,October,2022.0,3,Love Is Blind
Kill Boksoon // 길복순,Yes,2023-03-31,68500000,March,2023.0,,Kill Boksoon // 길복순
The Thundermans: Season 1,No,,68500000,,,1,The Thundermans
The Flash (2014): Season 1,No,,68200000,,,1,The Flash (2014)
Red Notice,Yes,2021-11-12,68100000,November,2021.0,,Red Notice
Henry Danger: Season 1,No,,67800000,,,1,Henry Danger
The Queen of Flow: Season 2 // La reina del flow: Temporada 2,No,2021-11-17,67800000,November,2021.0,2,The Queen of Flow // La reina del flow: Temporada 2
The Walking Dead: Season 2,No,,67700000,,,2,The Walking Dead
Viking Wolf // Vikingulven,Yes,2023-02-03,67500000,February,2023.0,,Viking Wolf // Vikingulven
Designated Survivor: Season 2,Yes,2017-09-28,67200000,September,2017.0,2,Designated Survivor
Bebefinn: Season 1,Yes,,67100000,,,1,Bebefinn
Hotel Transylvania 2,No,,67000000,,,,Hotel Transylvania 2
Stranger Things 3,Yes,2019-07-04,67000000,July,2019.0,,Stranger Things 3
Masha and the Bear: Season 1,No,,66700000,,,1,Masha and the Bear
Outlander: Season 1,No,2016-03-31,66500000,March,2016.0,1,Outlander
Grizzy and the Lemmings: Season 2,No,,66000000,,,2,Grizzy and the Lemmings
Single’s Inferno: Season 2 // 솔로지옥: 시즌 2,Yes,2022-12-13,65900000,December,2022.0,2,Single’s Inferno // 솔로지옥: 시즌 2
The Witcher: Blood Origin: Limited Series,Yes,2022-12-25,65300000,December,2022.0,,The Witcher: Blood Origin: Limited Series
The Nurse: Limited Series // Sygeplejersken: Miniserie,Yes,2023-04-27,65200000,April,2023.0,,The Nurse: Limited Series // Sygeplejersken: Miniserie
The Watcher: Season 1,Yes,2022-10-13,64400000,October,2022.0,1,The Watcher
Jumanji: The Next Level,No,,64300000,,,,Jumanji: The Next Level
Suits (2011): Season 4,Yes,,64200000,,,4,Suits (2011)
Gilmore Girls: Season 6,Yes,,63900000,,,6,Gilmore Girls
The Tailor: Season 1 // Terzi: 1. Sezon,Yes,2023-05-02,63900000,May,2023.0,1,The Tailor // Terzi: 1. Sezon
All American: Season 5,No,,63700000,,,5,All American
Peppa Pig: Season 2,No,,63700000,,,2,Peppa Pig
DAHMER: Monster: The Jeffrey Dahmer Story,Yes,2022-09-21,63500000,September,2022.0,,DAHMER: Monster: The Jeffrey Dahmer Story
The Blacklist: Season 3,No,,63500000,,,3,The Blacklist
Narvik,No,2023-01-23,63100000,January,2023.0,,Narvik
Home (2015),No,,62800000,,,,Home (2015)
The Sea Beast,Yes,2022-07-08,62700000,July,2022.0,,The Sea Beast
The Walking Dead: Season 4,No,,62300000,,,4,The Walking Dead
Harry & Meghan: Limited Series,Yes,2022-12-08,62000000,December,2022.0,,Harry & Meghan: Limited Series
The Walking Dead: Season 5,No,,62000000,,,5,The Walking Dead
My Dad the Bounty Hunter: Season 1,Yes,2023-02-09,61800000,February,2023.0,1,My Dad the Bounty Hunter
Dog Gone,Yes,2023-01-13,61600000,January,2023.0,,Dog Gone
Maid: Limited Series,Yes,2021-10-01,61500000,October,2021.0,,Maid: Limited Series
Pasión de Gavilanes: Season 2,No,,61500000,,,2,Pasión de Gavilanes
A Man Called Otto,No,,61300000,,,,A Man Called Otto
Peaky Blinders: Season 1,No,2014-09-30,61100000,September,2014.0,1,Peaky Blinders
Victorious: Season 1,No,,61100000,,,1,Victorious
Never Have I Ever: Season 1,Yes,2020-04-27,61000000,April,2020.0,1,Never Have I Ever
THE DAYS: Limited Series,No,2023-06-01,60800000,June,2023.0,,THE DAYS: Limited Series
Eva Lasting: Season 1 // La primera vez: Temporada 1,Yes,2023-02-15,60600000,February,2023.0,1,Eva Lasting // La primera vez: Temporada 1
Unseen: Season 1,Yes,2023-03-29,60100000,March,2023.0,1,Unseen
Narcos: Season 1,Yes,2015-08-28,59900000,August,2015.0,1,Narcos
The Walking Dead: Season 6,No,,59800000,,,6,The Walking Dead
MADOFF: The Monster of Wall Street: Limited Series,Yes,2023-01-04,59600000,January,2023.0,,MADOFF: The Monster of Wall Street: Limited Series
The Witcher: Season 2,Yes,2021-12-17,59300000,December,2021.0,2,The Witcher
Sky Rojo: Season 3,Yes,2023-01-13,58500000,January,2023.0,3,Sky Rojo
Young Lady and Gentleman // 신사와 아가씨,No,,58500000,,,,Young Lady and Gentleman // 신사와 아가씨
Miraculous: Tales of Ladybug & Cat Noir: Season 1,No,,58300000,,,1,Miraculous: Tales of Ladybug & Cat Noir
Never Have I Ever: Season 3,Yes,2022-08-12,58300000,August,2022.0,3,Never Have I Ever
The Gray Man,Yes,2022-07-22,58300000,July,2022.0,,The Gray Man
S.W.A.T. (2017): Season 2,No,,57900000,,,2,S.W.A.T. (2017)
ONE PIECE: East Blue // ワンピース: イーストブルー編,No,,57800000,,,,ONE PIECE: East Blue // ワンピース: イーストブルー編
Brooklyn Nine-Nine: Season 1,No,,57500000,,,1,Brooklyn Nine-Nine
New Amsterdam (2018): Season 4,No,,57500000,,,4,New Amsterdam (2018)
Workin' Moms: Season 7,No,2023-04-26,57500000,April,2023.0,7,Workin' Moms
Barbie Life in the Dreamhouse: Season 1,Yes,,57400000,,,1,Barbie Life in the Dreamhouse
The Walking Dead: Season 7,No,,57400000,,,7,The Walking Dead
The Blacklist: Season 8,No,,57000000,,,8,The Blacklist
The Sandman: Season 1,Yes,2022-08-05,56700000,August,2022.0,1,The Sandman
True Spirit,Yes,2023-02-03,56700000,February,2023.0,,True Spirit
CoComelon: Season 5,No,2022-03-31,56600000,March,2022.0,5,CoComelon
Gilmore Girls: Season 7,Yes,,56500000,,,7,Gilmore Girls
The Strays,Yes,2023-02-22,56500000,February,2023.0,,The Strays
Suits (2011): Season 5,Yes,,56400000,,,5,Suits (2011)
The Croods,No,,56400000,,,,The Croods
Grizzy and the Lemmings: Season 1,No,,56300000,,,1,Grizzy and the Lemmings
The Empress: Season 1 // Die Kaiserin: Staffel 1,Yes,2022-09-29,56000000,September,2022.0,1,The Empress // Die Kaiserin: Staffel 1
Matilda (1996),No,,55700000,,,,Matilda (1996)
Outlast: Season 1,Yes,2023-03-10,55500000,March,2023.0,1,Outlast
The Good Doctor: Season 1,No,,55500000,,,1,The Good Doctor
CoComelon: Season 7,No,2023-02-14,55200000,February,2023.0,7,CoComelon
Jane The Virgin: Season 1,Yes,,55200000,,,1,Jane The Virgin
The Blacklist: Season 4,No,,55200000,,,4,The Blacklist
VINLAND SAGA: Season 2 // ヴィンランド・サガ: シーズン2,No,,55100000,,,2,VINLAND SAGA // ヴィンランド・サガ: シーズン2
The Queen of Flow: Season 1 // La reina del flow: Temporada 1,No,2018-11-09,55000000,November,2018.0,1,The Queen of Flow // La reina del flow: Temporada 1
Brooklyn Nine-Nine: Season 2,No,,54800000,,,2,Brooklyn Nine-Nine
Carinha de Anjo: Season 1,No,,54400000,,,1,Carinha de Anjo
"Surviving Escobar - Alias JJ: Season 1 // Sobreviviendo a Escobar, Alias JJ: Temporada 1",No,2017-07-31,54400000,July,2017.0,1,"Surviving Escobar - Alias JJ // Sobreviviendo a Escobar, Alias JJ: Temporada 1"
The Circle: Season 5,Yes,2022-12-28,54400000,December,2022.0,5,The Circle
The Ultimatum: Queer Love: Season 1,Yes,2023-05-24,53800000,May,2023.0,1,The Ultimatum: Queer Love
Never Have I Ever: Season 2,Yes,2021-07-15,53700000,July,2021.0,2,Never Have I Ever
Brooklyn Nine-Nine: Season 3,No,,53600000,,,3,Brooklyn Nine-Nine
¡Que viva México!,Yes,2023-05-11,53500000,May,2023.0,,¡Que viva México!
Emily in Paris: Season 2,Yes,2021-12-22,53300000,December,2021.0,2,Emily in Paris
The Last Kingdom: Season 5,No,2022-03-09,53300000,March,2022.0,5,The Last Kingdom
Full Swing: Season 1,Yes,2023-02-15,53100000,February,2023.0,1,Full Swing
The Walking Dead: Season 8,No,,53000000,,,8,The Walking Dead
Welcome to Eden: Season 1 // Bienvenidos a Edén: Temporada 1,Yes,2022-05-06,53000000,May,2022.0,1,Welcome to Eden // Bienvenidos a Edén: Temporada 1
We Can Be Heroes,Yes,2020-12-25,52800000,December,2020.0,,We Can Be Heroes
Arnold: Limited Series,Yes,2023-06-07,52500000,June,2023.0,,Arnold: Limited Series
Better Call Saul: Season 1,No,2015-02-08,52500000,February,2015.0,1,Better Call Saul
The King's Affection: Season 1 // 연모: 시즌 1,Yes,2021-10-11,52400000,October,2021.0,1,The King's Affection // 연모: 시즌 1
Shameless (U.S.): Season 1,No,,52300000,,,1,Shameless (U.S.)
Missing: Dead or Alive?: Season 1,Yes,2023-05-10,52200000,May,2023.0,1,Missing: Dead or Alive?
Bodyguard: Season 1,Yes,2018-10-24,52000000,October,2018.0,1,Bodyguard
Dr. Seuss' The Lorax,No,,52000000,,,,Dr. Seuss' The Lorax
1899: Season 1,Yes,2022-11-17,51800000,November,2022.0,1,1899
A Tourist's Guide to Love,Yes,2023-04-21,51800000,April,2023.0,,A Tourist's Guide to Love
It's Okay to Not Be Okay: Season 1 // 사이코지만 괜찮아: 시즌 1,Yes,2020-06-20,51800000,June,2020.0,1,It's Okay to Not Be Okay // 사이코지만 괜찮아: 시즌 1
Vikings (2013): Season 4,No,,51800000,,,4,Vikings (2013)
Faraway,Yes,2023-03-08,51700000,March,2023.0,,Faraway
Blood & Gold,Yes,2023-05-26,51600000,May,2023.0,,Blood & Gold
